,n,Insertion Sort,Merge Sort,Quick Sort
,475,4952,2220,1905
,480,4744,2243,2070
,485,4995,2419,2043
,490,4910,2370,2237
,495,5339,2361,2111
,500,5385,2426,2195
###############################################,,,,
,5,14.9999999999,16.9999999999,14.0000000002
,10,17.9999999999,27.9999999999,30
,15,23.9999999998,43,47.0000000001
,20,30.9999999999,59.9999999999,60.0000000002
,25,39.0000000001,78.9999999999,73
,30,49,95.9999999999,106
,35,61.0000000001,116,114
,40,71.9999999998,145,127
,45,87.9999999999,153,148
,50,93.0000000001,179,170
,55,110,190,200
,60,120,225,212
,65,154,242,226
,70,171,256,267
,75,186,276,267
,80,204,294,330
,85,251,348,321
,90,236,354,308
,95,235,362,348
,100,343,387,364
,105,301,402,373
,110,321,423,408
,115,365,455,459
,120,386,493,435
,125,410,492,459
,130,429,529,484
,135,460,536,544
,140,469,558,557
,145,540,597,589
,150,563,612,553
,155,568,628,564
,160,637,651,597
,165,631,677,616
,170,692,699,629
,175,728,719,656
,180,782,740,687
,185,827,781,746
,190,867,784,712
,195,922,812,785
,200,933,835,743
,205,1063,861,794
,210,1034,894,859
,215,1065,913,846
,220,1195,923,885
,225,1173,950,887
,230,1163,987,917
,235,1327,1015,917
,240,1321,1081,982
,245,1322,1049,1001
,250,1375,1070,993
,255,1370,1118,1072
,260,1568,1139,1043
,265,1744,1158,1071
,270,1570,1173,1069
,275,1648,1201,1163
,280,1765,1231,1121
,285,1829,1265,1147
,290,1808,1274,1165
,295,1999,1327,1184
,300,2082,1395,1209
,305,1900,1348,1202
,310,2025,1371,1276
,315,2036,1402,1290
,320,2239,1426,1265
,325,2280,1474,1313
,330,2464,1476,1344
,335,2494,1507,1361
,340,2352,1534,1351
,345,2541,1558,1359
,350,2605,1569,1426
,355,2859,1599,1410
,360,2729,1631,1516
,365,2743,1657,1509
,370,2689,1706,1523
,375,2867,1763,1592
,380,3093,1722,1488
,385,3089,1749,1559
,390,3170,1783,1678
,395,3238,1796,1637
,400,3374,1849,1701
,405,3364,1848,1773
,410,3411,1892,1730
,415,3385,1911,1650
,420,3937,2007,1714
,425,3759,1958,1700
,430,3859,1988,1781
,435,4074,2007,1847
,440,4116,2069,1789
,445,4085,2055,1881
,450,4593,2109,1883
,455,4669,2227,2048
,460,4429,2235,2005
,465,4856,2256,2038
,470,4901,2204,1935
,475,4450,2211,2010
,480,4668,2243,1956
,485,4920,2268,2074
,490,5231,2391,2076
,495,4900,2360,2213
,500,5149,2380,2083
###############################################,,11,14.9999999999,11
,5,14.9999999999,27.9999999999,33.0000000002
,10,21,42.0000000001,38
,15,30,58.9999999998,60.0000000002
,20,39.0000000001,76,75
,25,64.0000000001,93.9999999998,100
,30,57,114,116
,35,72.0000000001,132,137
,40,83.0000000001,152,153
,45,103,169,152
,50,126,193,174
,55,118,213,220
,60,146,236,243
,65,146,268,251
,70,180,284,278
,75,201,292,299
,80,215,317,307
,85,244,337,329
,90,276,357,329
,95,273,378,420
,100,300,404,361
,105,327,424,400
,110,361,448,407
,115,357,467,450
,120,388,492,486
,125,471,509,475
,130,491,539,481
,135,501,597,562
,140,578,587,555
,145,560,608,596
,150,620,629,615
,155,615,644,608
,160,670,672,623
,165,688,697,688
,170,765,752,727
,175,784,784,702
,180,830,770,698
,185,802,785,725
,190,930,812,750
,195,852,837,820
,200,1014,873,835
,205,1085,881,803
,210,1049,910,823
,215,1095,931,848
,220,1109,951,882
,225,1183,1002,953
,230,1289,1004,902
,235,1356,1050,910
,240,1312,1049,973
,245,1376,1073,981
